participant_id,age,,
p001,5.406726633,,
p002,5.499804458,,
p003,7.074606434,,
p004,5.737974189,,
p005,4.734824281,,
p006,4.592423551,,
p007,5,,
p008,5,,
p009,5,,
p010,7.307323751,,
p011,5.702385608,,
p012,7.43383024,,
p013,7.672041375,,
p014,6.102072741,,
p015,4.836147878,,
p016,5.863903011,,
p017,4.326396495,,
p018,6.044583496,,
p019,5.866640594,,
p020,3.948521358,,
p021,8.502190581,,
p022,6.461327858,,
p023,4.600638978,,
p024,4.792332268,,
p025,8.348341953,,
p026,6.669404517,,
p027,4.869009585,,
p028,6.836413415,,
p029,7.049965777,,
p030,8.47754655,,
p031,6,,
p032,7.387283237,,
p033,4.688270196,,
p034,7.46394889,,
p035,4.997717937,,
p036,,,
p037,7.123887748,,
p038,5.183934277,,
p039,4.219605696,,
p040,7.82537268,,
p041,6.893908282,,
p042,5.309904153,,
p043,7.312799452,,
p044,3.874589266,,
p045,7.981442044,,
p046,4.570515746,,
p047,4.908333333,,
p048,7.038888889,,
p049,7.7,,
p050,6.880555556,,
p051,7.338888889,,
p052,8.538888889,,
p053,8.916666667,,
p054,,,
p055,8.577777778,,
p056,6.916666667,,
p057,6.480555556,,
p058,7.230555556,,
p059,4.858333333,,
p060,4.597222222,,
p061,4.455555556,,
p062,5.786111111,,
p063,8.930555556,,
p064,5.152777778,,
p065,4.947222222,,
p066,5.913888889,,
p067,8.913888889,,
p068,5.933333333,,
p069,5.794444444,,
p070,5.405555556,,
p071,,,
p072,,,
p073,4.213888889,,
p074,,,
p075,,,
p076,,,
p077,8.433333333,,
p078,7.136111111,,
p079,7.397222222,,
p080,4.733333333,,
p081,,,
p082,7.347222222,,
p083,6.061111111,,
p084,8.35,,
p085,5.655555556,,
p086,7.358333333,,
p087,6.827777778,,
p088,4.263888889,,
p089,8.116666667,,
p090,7.183333333,,
p091,8.05,,
p092,6.169444444,,
p093,4.194444444,,
p094,6.075,,
p095,6.933333333,,
p096,8.536111111,,
p097,5.766666667,,
p098,8.422222222,,
p099,5.936111111,,
p100,5.716666667,,
p101,5.536111111,,
p102,4.822222222,,
p103,4.075,,
p104,8.238888889,,
p105,6.091666667,,
p106,8.819444444,,
p107,6.083333333,,
p108,7.211111111,,
p109,7.380555556,,
p110,8.575,,
p111,7.247222222,,
p112,5.833333333,,
p113,5.580555556,,
p114,7.108333333,,
p115,4.122222222,,
p116,6.683333333,,
p117,6.2,,
p118,,,
p119,,,
