"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","participant","phase","block","trial","trial_in_block","placements","move_log"
"true","false","[]","[]","[]","preload","0","2.1.0","33","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","824","791","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p><b>This task works best in landscape orientation.</b></p>
      <p>If you are using an iPad, please rotate it horizontally before continuing.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","2","2.1.0","1336","511","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>You will first complete <b>1 practice trial</b>.</p>
      <p>After that, you will complete <b>2 blocks</b> of trials, with <b>3 trials per block</b>.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","3","2.1.0","2325","987","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>One picture will appear at a time.</p>
      <p>Place the current picture into the grid based on how it belongs with the pictures already shown.</p>
      <p>You can still move the earlier pictures if you want to adjust your arrangement.</p>
      <p>As soon as you place the current picture into the grid, the next picture will appear automatically.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","4","2.1.0","2941","615","<div style=""font-size:24px; padding:20px;"">Practice Trial</div>","0","","","","","","",""
"","","","","","emotion-grid","5","null","8320","","","","demo","practice","null","0","0","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""rice.jpg"",""final_img_pos"":""(528, 208)"",""posX"":528,""posY"":208,""grid_col"":5,""grid_row"":2,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""pizza.jpg"",""final_img_pos"":""(424, 416)"",""posX"":424,""posY"":416,""grid_col"":4,""grid_row"":4,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ice_cream.jpg"",""final_img_pos"":""(632, 624)"",""posX"":632,""posY"":624,""grid_col"":6,""grid_row"":6,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""chocolate.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ham.jpg"",""final_img_pos"":""(840, 520)"",""posX"":840,""posY"":520,""grid_col"":8,""grid_row"":5,""introduction_order"":5},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""salad.jpg"",""final_img_pos"":""(632, 416)"",""posX"":632,""posY"":416,""grid_col"":6,""grid_row"":4,""introduction_order"":6}]","[{""step"":0,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":6,""grid_row"":4},{""step"":1,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":6,""grid_row"":4},{""step"":2,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":579,""y"":360,""grid_col"":5,""grid_row"":3},{""step"":3,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":577,""y"":352,""grid_col"":5,""grid_row"":3},{""step"":4,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":572,""y"":339,""grid_col"":5,""grid_row"":3},{""step"":5,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":559,""y"":309,""grid_col"":5,""grid_row"":3},{""step"":6,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":547,""y"":281,""grid_col"":5,""grid_row"":3},{""step"":7,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":540,""y"":260,""grid_col"":5,""grid_row"":3},{""step"":8,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":532,""y"":243,""grid_col"":5,""grid_row"":2},{""step"":9,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":530,""y"":236,""grid_col"":5,""grid_row"":2},{""step"":10,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":525,""y"":225,""grid_col"":5,""grid_row"":2},{""step"":11,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":519,""y"":210,""grid_col"":5,""grid_row"":2},{""step"":12,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":515,""y"":202,""grid_col"":5,""grid_row"":2},{""step"":13,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":512,""y"":196,""grid_col"":5,""grid_row"":2},{""step"":14,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":509,""y"":190,""grid_col"":5,""grid_row"":2},{""step"":15,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":508,""y"":187,""grid_col"":5,""grid_row"":2},{""step"":16,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":506,""y"":185,""grid_col"":5,""grid_row"":2},{""step"":17,""event"":""placement"",""image_index"":0,""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":506,""y"":184,""grid_col"":5,""grid_row"":2},{""step"":18,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":6,""grid_row"":4},{""step"":19,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":5,""grid_row"":4},{""step"":20,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":577,""y"":364,""grid_col"":5,""grid_row"":4},{""step"":21,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":570,""y"":367,""grid_col"":5,""grid_row"":4},{""step"":22,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":560,""y"":371,""grid_col"":5,""grid_row"":4},{""step"":23,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":550,""y"":376,""grid_col"":5,""grid_row"":4},{""step"":24,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":539,""y"":382,""grid_col"":5,""grid_row"":4},{""step"":25,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":524,""y"":390,""grid_col"":5,""grid_row"":4},{""step"":26,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":511,""y"":398,""grid_col"":5,""grid_row"":4},{""step"":27,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":499,""y"":404,""grid_col"":5,""grid_row"":4},{""step"":28,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":479,""y"":414,""grid_col"":5,""grid_row"":4},{""step"":29,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":470,""y"":418,""grid_col"":4,""grid_row"":4},{""step"":30,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":465,""y"":419,""grid_col"":4,""grid_row"":4},{""step"":31,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":461,""y"":420,""grid_col"":4,""grid_row"":4},{""step"":32,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":458,""y"":421,""grid_col"":4,""grid_row"":4},{""step"":33,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":456,""y"":421,""grid_col"":4,""grid_row"":4},{""step"":34,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":455,""y"":421,""grid_col"":4,""grid_row"":4},{""step"":35,""event"":""placement"",""image_index"":1,""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":454,""y"":421,""grid_col"":4,""grid_row"":4},{""step"":36,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":366,""grid_col"":6,""grid_row"":4},{""step"":37,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":371,""grid_col"":6,""grid_row"":4},{""step"":38,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":382,""grid_col"":6,""grid_row"":4},{""step"":39,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":408,""grid_col"":6,""grid_row"":4},{""step"":40,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":445,""grid_col"":6,""grid_row"":4},{""step"":41,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":482,""grid_col"":6,""grid_row"":5},{""step"":42,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":526,""grid_col"":6,""grid_row"":5},{""step"":43,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":565,""grid_col"":6,""grid_row"":5},{""step"":44,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":600,""grid_col"":6,""grid_row"":6},{""step"":45,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":46,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":47,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":48,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":49,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":50,""event"":""placement"",""image_index"":2,""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":616,""grid_col"":6,""grid_row"":6},{""step"":51,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":6,""grid_row"":3},{""step"":52,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":581,""y"":364,""grid_col"":6,""grid_row"":3},{""step"":53,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":585,""y"":363,""grid_col"":6,""grid_row"":3},{""step"":54,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":593,""y"":362,""grid_col"":6,""grid_row"":3},{""step"":55,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":604,""y"":361,""grid_col"":6,""grid_row"":3},{""step"":56,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":621,""y"":359,""grid_col"":6,""grid_row"":3},{""step"":57,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":641,""y"":358,""grid_col"":6,""grid_row"":3},{""step"":58,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":657,""y"":357,""grid_col"":6,""grid_row"":3},{""step"":59,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":673,""y"":357,""grid_col"":6,""grid_row"":3},{""step"":60,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":693,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":61,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":705,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":62,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":712,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":63,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":719,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":64,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":726,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":65,""event"":""placement"",""image_index"":3,""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":732,""y"":357,""grid_col"":7,""grid_row"":3},{""step"":66,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":5,""grid_row"":3},{""step"":67,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":6,""grid_row"":3},{""step"":68,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":585,""y"":367,""grid_col"":6,""grid_row"":4},{""step"":69,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":593,""y"":374,""grid_col"":6,""grid_row"":4},{""step"":70,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":605,""y"":381,""grid_col"":6,""grid_row"":4},{""step"":71,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":621,""y"":391,""grid_col"":6,""grid_row"":4},{""step"":72,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":643,""y"":405,""grid_col"":6,""grid_row"":4},{""step"":73,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":669,""y"":422,""grid_col"":6,""grid_row"":4},{""step"":74,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":694,""y"":437,""grid_col"":7,""grid_row"":4},{""step"":75,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":714,""y"":449,""grid_col"":7,""grid_row"":4},{""step"":76,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":727,""y"":457,""grid_col"":7,""grid_row"":4},{""step"":77,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":742,""y"":466,""grid_col"":7,""grid_row"":4},{""step"":78,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":755,""y"":473,""grid_col"":7,""grid_row"":5},{""step"":79,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":767,""y"":479,""grid_col"":7,""grid_row"":5},{""step"":80,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":778,""y"":484,""grid_col"":7,""grid_row"":5},{""step"":81,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":787,""y"":486,""grid_col"":7,""grid_row"":5},{""step"":82,""event"":""placement"",""image_index"":4,""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":793,""y"":488,""grid_col"":8,""grid_row"":5},{""step"":83,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":5,""grid_row"":4},{""step"":84,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":364,""grid_col"":5,""grid_row"":4},{""step"":85,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":365,""grid_col"":5,""grid_row"":4},{""step"":86,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":368,""grid_col"":5,""grid_row"":4},{""step"":87,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":580,""y"":372,""grid_col"":5,""grid_row"":4},{""step"":88,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":581,""y"":378,""grid_col"":6,""grid_row"":4},{""step"":89,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":584,""y"":388,""grid_col"":6,""grid_row"":4},{""step"":90,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":588,""y"":399,""grid_col"":6,""grid_row"":4},{""step"":91,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":593,""y"":411,""grid_col"":6,""grid_row"":4},{""step"":92,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":598,""y"":422,""grid_col"":6,""grid_row"":4},{""step"":93,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":601,""y"":429,""grid_col"":6,""grid_row"":4},{""step"":94,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":603,""y"":433,""grid_col"":6,""grid_row"":4},{""step"":95,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":605,""y"":437,""grid_col"":6,""grid_row"":4},{""step"":96,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":606,""y"":441,""grid_col"":6,""grid_row"":4},{""step"":97,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":607,""y"":444,""grid_col"":6,""grid_row"":4},{""step"":98,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":608,""y"":446,""grid_col"":6,""grid_row"":4},{""step"":99,""event"":""placement"",""image_index"":5,""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""x"":609,""y"":447,""grid_col"":6,""grid_row"":4}]"
"","","","","","html-button-response","6","2.1.0","9128","807","
    <div style=""font-size:24px; line-height:1.5; padding:20px;"">
      The practice trial is complete.<br><br>
      You will now begin the main task.
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","7","2.1.0","9815","686","
      <div style=""font-size:24px; line-height:1.5; padding:20px;"">
        Block 1 of 2<br><br>
        This block has 3 trials.
      </div>
    ","0","","","","","","",""
