"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","participant","phase","block","trial","trial_in_block","placements","move_log"
"true","false","[]","[]","[]","preload","0","2.1.0","1166","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2246","1080","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p><b>This task works best in landscape orientation.</b></p>
      <p>If you are using an iPad, please rotate it horizontally before continuing.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","2","2.1.0","2645","398","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>You will first complete <b>1 practice trial</b>.</p>
      <p>After that, you will complete <b>2 blocks</b> of trials, with <b>3 trials per block</b>.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","3","2.1.0","4016","1371","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>One picture will appear at a time.</p>
      <p>Place the current picture into the grid based on how it belongs with the pictures already shown.</p>
      <p>You can still move the earlier pictures if you want to adjust your arrangement.</p>
      <p>As soon as you place the current picture into the grid, the next picture will appear automatically.</p>
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","4","2.1.0","4642","625","<div style=""font-size:24px; padding:20px;"">Practice Trial</div>","0","","","","","","",""
"","","","","","emotion-grid","5","null","9401","","","","demo","practice","null","0","0","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""rice.jpg"",""final_img_pos"":""(632, 208)"",""posX"":632,""posY"":208,""grid_col"":6,""grid_row"":2,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""pizza.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ice_cream.jpg"",""final_img_pos"":""(528, 624)"",""posX"":528,""posY"":624,""grid_col"":5,""grid_row"":6,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""chocolate.jpg"",""final_img_pos"":""(320, 416)"",""posX"":320,""posY"":416,""grid_col"":3,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ham.jpg"",""final_img_pos"":""(320, 520)"",""posX"":320,""posY"":520,""grid_col"":3,""grid_row"":5,""introduction_order"":5},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""salad.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":6}]","[{""image_name"":""rice.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":6,""grid_row"":2,""posX"":632,""posY"":208,""timestamp"":5917.899999856949},{""image_name"":""pizza.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":3,""posX"":320,""posY"":312,""timestamp"":6509.299999952316},{""image_name"":""ice_cream.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":5,""grid_row"":6,""posX"":528,""posY"":624,""timestamp"":7171.899999856949},{""image_name"":""chocolate.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":4,""posX"":320,""posY"":416,""timestamp"":7764.199999809265},{""image_name"":""ham.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":5,""posX"":320,""posY"":520,""timestamp"":8330.599999904633},{""image_name"":""salad.jpg"",""trial"":0,""block"":null,""phase"":""practice"",""grid_col"":6,""grid_row"":5,""posX"":632,""posY"":520,""timestamp"":8963.899999856949}]"
"","","","","","html-button-response","6","2.1.0","10021","620","
    <div style=""font-size:24px; line-height:1.5; padding:20px;"">
      The practice trial is complete.<br><br>
      You will now begin the main task.
    </div>
  ","0","","","","","","",""
"","","","","","html-button-response","7","2.1.0","10596","575","
      <div style=""font-size:24px; line-height:1.5; padding:20px;"">
        Block 1 of 2<br><br>
        This block has 3 trials.
      </div>
    ","0","","","","","","",""
"","","","","","emotion-grid","8","null","21422","","","","demo","main","1","1","1","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""peacock_1.jpg"",""final_img_pos"":""(632, 104)"",""posX"":632,""posY"":104,""grid_col"":6,""grid_row"":1,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""dolphin_1.jpg"",""final_img_pos"":""(320, 208)"",""posX"":320,""posY"":208,""grid_col"":3,""grid_row"":2,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""pigeon_1.jpg"",""final_img_pos"":""(320, 624)"",""posX"":320,""posY"":624,""grid_col"":3,""grid_row"":6,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""fox_1.jpg"",""final_img_pos"":""(320, 416)"",""posX"":320,""posY"":416,""grid_col"":3,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""lion_1.jpg"",""final_img_pos"":""(216, 312)"",""posX"":216,""posY"":312,""grid_col"":2,""grid_row"":3,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""sheep_1.jpg"",""final_img_pos"":""(528, 624)"",""posX"":528,""posY"":624,""grid_col"":5,""grid_row"":6,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""horse_1.jpg"",""final_img_pos"":""(944, 416)"",""posX"":944,""posY"":416,""grid_col"":9,""grid_row"":4,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""fish_1.jpg"",""final_img_pos"":""(944, 104)"",""posX"":944,""posY"":104,""grid_col"":9,""grid_row"":1,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""squirrel_1.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""butterfly_1.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""ladybug_1.jpg"",""final_img_pos"":""(528, 104)"",""posX"":528,""posY"":104,""grid_col"":5,""grid_row"":1,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""wolf_1.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":12}]","[{""image_name"":""peacock_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":1,""posX"":632,""posY"":104,""timestamp"":12609.199999809265},{""image_name"":""dolphin_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":2,""posX"":320,""posY"":208,""timestamp"":13184.699999809265},{""image_name"":""pigeon_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":6,""posX"":320,""posY"":624,""timestamp"":14281.5},{""image_name"":""fox_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":4,""posX"":320,""posY"":416,""timestamp"":14830.099999904633},{""image_name"":""lion_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":3,""posX"":216,""posY"":312,""timestamp"":15334.299999952316},{""image_name"":""sheep_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":6,""posX"":528,""posY"":624,""timestamp"":15918.099999904633},{""image_name"":""horse_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":9,""grid_row"":4,""posX"":944,""posY"":416,""timestamp"":16692.299999952316},{""image_name"":""fish_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":9,""grid_row"":1,""posX"":944,""posY"":104,""timestamp"":17297.299999952316},{""image_name"":""squirrel_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":18384.799999952316},{""image_name"":""butterfly_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":2,""posX"":736,""posY"":208,""timestamp"":18905.099999904633},{""image_name"":""ladybug_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":1,""posX"":528,""posY"":104,""timestamp"":19471.799999952316},{""image_name"":""wolf_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":5,""posX"":632,""posY"":520,""timestamp"":20535.799999952316}]"
"","","","","","emotion-grid","9","null","30073","","","","demo","main","1","2","2","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""clock_1.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""envelope_1.jpg"",""final_img_pos"":""(528, 208)"",""posX"":528,""posY"":208,""grid_col"":5,""grid_row"":2,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fireworks_1.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""flag_1.jpg"",""final_img_pos"":""(320, 520)"",""posX"":320,""posY"":520,""grid_col"":3,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""ladder_1.jpg"",""final_img_pos"":""(216, 416)"",""posX"":216,""posY"":416,""grid_col"":2,""grid_row"":4,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""mirror_1.jpg"",""final_img_pos"":""(528, 520)"",""posX"":528,""posY"":520,""grid_col"":5,""grid_row"":5,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""snowman_1.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""tent_1.jpg"",""final_img_pos"":""(840, 312)"",""posX"":840,""posY"":312,""grid_col"":8,""grid_row"":3,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""window_1.jpg"",""final_img_pos"":""(736, 520)"",""posX"":736,""posY"":520,""grid_col"":7,""grid_row"":5,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""balloon_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""camera_1.jpg"",""final_img_pos"":""(632, 208)"",""posX"":632,""posY"":208,""grid_col"":6,""grid_row"":2,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""candle_1.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":12}]","[{""image_name"":""clock_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":2,""posX"":736,""posY"":208,""timestamp"":23138.5},{""image_name"":""envelope_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":2,""posX"":528,""posY"":208,""timestamp"":23734.099999904633},{""image_name"":""fireworks_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":3,""posX"":320,""posY"":312,""timestamp"":24397.39999985695},{""image_name"":""flag_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":5,""posX"":320,""posY"":520,""timestamp"":24951.099999904633},{""image_name"":""ladder_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":4,""posX"":216,""posY"":416,""timestamp"":25546.799999952316},{""image_name"":""mirror_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":5,""posX"":528,""posY"":520,""timestamp"":26180.799999952316},{""image_name"":""snowman_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":26755.099999904633},{""image_name"":""tent_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":3,""posX"":840,""posY"":312,""timestamp"":27321.799999952316},{""image_name"":""window_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":5,""posX"":736,""posY"":520,""timestamp"":27950.799999952316},{""image_name"":""balloon_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":3,""posX"":736,""posY"":312,""timestamp"":28542.599999904633},{""image_name"":""camera_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":2,""posX"":632,""posY"":208,""timestamp"":29092.699999809265},{""image_name"":""candle_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":29684.299999952316}]"
