"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","4068","p038","6","","","","","","","","","","","","","","",""
"preload","1","2.1.0","4593","p038","6","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","15822","p038","6","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","27044","p038","6","","","","","","","","","","","","","","",""
"emotion-grid","4","null","88757","p038","6","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":492,""posY"":439},{""image_name"":""hamburger.jpg"",""posX"":568,""posY"":450},{""image_name"":""french_fries_1.jpg"",""posX"":451.5,""posY"":475.5},{""image_name"":""ice_cream_1.jpg"",""posX"":929.5,""posY"":471},{""image_name"":""cookie.jpg"",""posX"":890.5,""posY"":534.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":492,""posY"":439,""timestamp"":33496},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":568,""posY"":450,""timestamp"":35523},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":368,""posY"":538,""timestamp"":37766},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":503.5,""posY"":590,""timestamp"":40735},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":375.5,""posY"":667,""timestamp"":43845},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":451.5,""posY"":475.5,""timestamp"":73982},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":929.5,""posY"":471,""timestamp"":77765},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":890.5,""posY"":534.5,""timestamp"":79459}]","1","","",""
"html-button-response","5","2.1.0","95141","p038","6","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","107273","p038","6","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","111730","p038","6","","","","","","","","","","","","","","",""
"emotion-grid","8","null","131378","p038","6","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":259,""posY"":186.5},{""image_name"":""bread.jpg"",""posX"":282,""posY"":217.5},{""image_name"":""croissant.jpg"",""posX"":965.5,""posY"":220},{""image_name"":""chocolate_2.jpg"",""posX"":936,""posY"":324.5},{""image_name"":""candy.jpg"",""posX"":584,""posY"":385.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":259,""posY"":186.5,""timestamp"":115266},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":282,""posY"":217.5,""timestamp"":117474},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":965.5,""posY"":220,""timestamp"":119626},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":936,""posY"":324.5,""timestamp"":121711},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":584,""posY"":385.5,""timestamp"":123604}]","1","","",""
"html-button-response","9","2.1.0","133010","p038","6","","","","","","","","","","","","","1630","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","10","2.1.0","148846","p038","6","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","150044","p038","6","","","","","","","","","","","","","1196","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","12","2.1.0","155689","p038","6","","","","","","","","","","","","","","",""
