"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","18998","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","","",""
"preload","1","2.1.0","19066","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","19745","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","37711","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","","",""
"emotion-grid","4","null","75457","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":42579},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":48341},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":5,""grid_row"":2,""timestamp"":56530},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":5,""grid_row"":3,""timestamp"":61866},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":71680}]","","",""
"html-button-response","5","2.1.0","76489","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","1031","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","78900","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","","",""
"emotion-grid","7","null","95984","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":7,""grid_row"":1,""timestamp"":82629},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":85798},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":4,""grid_row"":1,""timestamp"":87825},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":6,""grid_row"":4,""timestamp"":88516},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":4,""grid_row"":5,""timestamp"":90934},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":92577},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":94736}]","","",""
"html-button-response","8","2.1.0","97363","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","1377","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","98654","emotions,animals,plants","{""emotions"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p011","3","","","","","","","","","","","","",""
