"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","13395","p033","1","","","","","","","","","","","","",""
"preload","1","2.1.0","13577","p033","1","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","38564","p033","1","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","46910","p033","1","","","","","","","","","","","","",""
"emotion-grid","4","null","81815","p033","1","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":9,""grid_row"":2,""timestamp"":51958},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":6,""grid_row"":1,""timestamp"":55963},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":9,""grid_row"":3,""timestamp"":58536},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":6,""grid_row"":1,""timestamp"":63498.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":69694},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":74730},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":81060}]","","",""
"html-button-response","5","2.1.0","82855","p033","1","","","","","","","","","","","1038","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","84723","p033","1","","","","","","","","","","","","",""
"emotion-grid","7","null","99451","p033","1","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":6,""grid_row"":2,""timestamp"":88673},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":91083},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":93451.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":95243},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":8,""grid_row"":6,""timestamp"":97103.00000000001}]","","",""
"html-button-response","8","2.1.0","100582","p033","1","","","","","","","","","","","1128","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","102769","p033","1","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","103701","p033","1","","","","","","","","","","","931","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","11","2.1.0","107889","p033","1","","","","","","","","","","","","",""
"emotion-grid","12","null","139418","p033","1","","","","","","p033","main","1","1","[{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fish_1.jpg"",""grid_col"":7,""grid_row"":1,""timestamp"":111735},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""squirrel_1.jpg"",""grid_col"":2,""grid_row"":1,""timestamp"":113830},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""pigeon_1.jpg"",""grid_col"":7,""grid_row"":6,""timestamp"":115673},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""ladybug_1.jpg"",""grid_col"":10,""grid_row"":3,""timestamp"":117447},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""sheep_1.jpg"",""grid_col"":2,""grid_row"":4,""timestamp"":119584},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""wolf_1.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":121752.00000000001},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""lion_1.jpg"",""grid_col"":5,""grid_row"":1,""timestamp"":123693},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""dolphin_1.jpg"",""grid_col"":10,""grid_row"":6,""timestamp"":125605},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""peacock_1.jpg"",""grid_col"":9,""grid_row"":1,""timestamp"":127555},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""butterfly_1.jpg"",""grid_col"":2,""grid_row"":3,""timestamp"":131275},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""horse_1.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":132917},{""participant"":""p033"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fox_1.jpg"",""grid_col"":8,""grid_row"":4,""timestamp"":134785}]","","",""
