"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","participant","phase","block","trial","trial_in_block","placements"
"true","false","[]","[]","[]","preload","0","28","0.0-0.0","","","","","","","","",""
"","","","","","html-button-response","1","961","0.0-1.0","933","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p><b>This task works best in landscape orientation.</b></p>
      <p>If you are using an iPad, please rotate it horizontally before continuing.</p>
    </div>
  ","0","","","","","",""
"","","","","","html-button-response","2","1353","0.0-2.0","391","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>You will first complete <b>1 practice trial</b>.</p>
      <p>After that, you will complete <b>2 blocks</b> of trials, with <b>3 trials per block</b>.</p>
    </div>
  ","0","","","","","",""
"","","","","","html-button-response","3","2495","0.0-3.0","1141","
    <div style=""font-size:22px; line-height:1.5; max-width:850px; margin:auto; padding:20px;"">
      <p>One picture will appear at a time.</p>
      <p>Place the current picture into the grid based on how it belongs with the pictures already shown.</p>
      <p>You can still move the earlier pictures if you want to adjust your arrangement.</p>
      <p>As soon as you place the current picture into the grid, the next picture will appear automatically.</p>
    </div>
  ","0","","","","","",""
"","","","","","html-button-response","4","3333","0.0-4.0","838","<div style=""font-size:24px; padding:20px;"">Practice Trial</div>","0","","","","","",""
"","","","","","emotion-grid","5","22420","0.0-5.0","","","","demo","practice","null","0","0","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""rice.jpg"",""final_img_pos"":""(632, 416)"",""posX"":632,""posY"":416,""grid_col"":6,""grid_row"":4,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""pizza.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ice_cream.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""chocolate.jpg"",""final_img_pos"":""(216, 520)"",""posX"":216,""posY"":520,""grid_col"":2,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""ham.jpg"",""final_img_pos"":""(424, 208)"",""posX"":424,""posY"":208,""grid_col"":4,""grid_row"":2,""introduction_order"":5},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":0,""trial_in_block"":0,""image"":""salad.jpg"",""final_img_pos"":""(944, 416)"",""posX"":944,""posY"":416,""grid_col"":9,""grid_row"":4,""introduction_order"":6}]"
"","","","","","html-button-response","6","24827","0.0-6.0","2407","
    <div style=""font-size:24px; line-height:1.5; padding:20px;"">
      The practice trial is complete.<br><br>
      You will now begin the main task.
    </div>
  ","0","","","","","",""
"","","","","","html-button-response","7","25403","0.0-7.0","575","
      <div style=""font-size:24px; line-height:1.5; padding:20px;"">
        Block 1 of 2<br><br>
        This block has 3 trials.
      </div>
    ","0","","","","","",""
"","","","","","emotion-grid","8","69481","0.0-8.0","","","","demo","main","1","1","1","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""peacock_1.jpg"",""final_img_pos"":""(736, 104)"",""posX"":736,""posY"":104,""grid_col"":7,""grid_row"":1,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""dolphin_1.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""pigeon_1.jpg"",""final_img_pos"":""(320, 624)"",""posX"":320,""posY"":624,""grid_col"":3,""grid_row"":6,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""fox_1.jpg"",""final_img_pos"":""(424, 520)"",""posX"":424,""posY"":520,""grid_col"":4,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""lion_1.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""sheep_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""horse_1.jpg"",""final_img_pos"":""(736, 416)"",""posX"":736,""posY"":416,""grid_col"":7,""grid_row"":4,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""fish_1.jpg"",""final_img_pos"":""(528, 520)"",""posX"":528,""posY"":520,""grid_col"":5,""grid_row"":5,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""squirrel_1.jpg"",""final_img_pos"":""(320, 416)"",""posX"":320,""posY"":416,""grid_col"":3,""grid_row"":4,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""butterfly_1.jpg"",""final_img_pos"":""(424, 208)"",""posX"":424,""posY"":208,""grid_col"":4,""grid_row"":2,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""ladybug_1.jpg"",""final_img_pos"":""(528, 416)"",""posX"":528,""posY"":416,""grid_col"":5,""grid_row"":4,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""wolf_1.jpg"",""final_img_pos"":""(632, 312)"",""posX"":632,""posY"":312,""grid_col"":6,""grid_row"":3,""introduction_order"":12}]"
"","","","","","emotion-grid","9","82103","0.0-9.0","","","","demo","main","1","2","2","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""clock_1.jpg"",""final_img_pos"":""(840, 208)"",""posX"":840,""posY"":208,""grid_col"":8,""grid_row"":2,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""envelope_1.jpg"",""final_img_pos"":""(736, 208)"",""posX"":736,""posY"":208,""grid_col"":7,""grid_row"":2,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fireworks_1.jpg"",""final_img_pos"":""(528, 208)"",""posX"":528,""posY"":208,""grid_col"":5,""grid_row"":2,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""flag_1.jpg"",""final_img_pos"":""(424, 416)"",""posX"":424,""posY"":416,""grid_col"":4,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""ladder_1.jpg"",""final_img_pos"":""(528, 520)"",""posX"":528,""posY"":520,""grid_col"":5,""grid_row"":5,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""mirror_1.jpg"",""final_img_pos"":""(736, 624)"",""posX"":736,""posY"":624,""grid_col"":7,""grid_row"":6,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""snowman_1.jpg"",""final_img_pos"":""(736, 416)"",""posX"":736,""posY"":416,""grid_col"":7,""grid_row"":4,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""tent_1.jpg"",""final_img_pos"":""(840, 312)"",""posX"":840,""posY"":312,""grid_col"":8,""grid_row"":3,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""window_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""balloon_1.jpg"",""final_img_pos"":""(632, 312)"",""posX"":632,""posY"":312,""grid_col"":6,""grid_row"":3,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""camera_1.jpg"",""final_img_pos"":""(528, 312)"",""posX"":528,""posY"":312,""grid_col"":5,""grid_row"":3,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""candle_1.jpg"",""final_img_pos"":""(528, 416)"",""posX"":528,""posY"":416,""grid_col"":5,""grid_row"":4,""introduction_order"":12}]"
"","","","","","emotion-grid","10","98065","0.0-10.0","","","","demo","main","1","3","3","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""broccoli_1.jpg"",""final_img_pos"":""(632, 312)"",""posX"":632,""posY"":312,""grid_col"":6,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""cabbage_1.jpg"",""final_img_pos"":""(632, 416)"",""posX"":632,""posY"":416,""grid_col"":6,""grid_row"":4,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""cactus_1.jpg"",""final_img_pos"":""(528, 520)"",""posX"":528,""posY"":520,""grid_col"":5,""grid_row"":5,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""cherry_1.jpg"",""final_img_pos"":""(424, 416)"",""posX"":424,""posY"":416,""grid_col"":4,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""flower_1.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""grass_1.jpg"",""final_img_pos"":""(528, 208)"",""posX"":528,""posY"":208,""grid_col"":5,""grid_row"":2,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""leaf_1.jpg"",""final_img_pos"":""(528, 312)"",""posX"":528,""posY"":312,""grid_col"":5,""grid_row"":3,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""tree_1.jpg"",""final_img_pos"":""(632, 208)"",""posX"":632,""posY"":208,""grid_col"":6,""grid_row"":2,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""acorn_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""apple_1.jpg"",""final_img_pos"":""(736, 416)"",""posX"":736,""posY"":416,""grid_col"":7,""grid_row"":4,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""blueberry_1.jpg"",""final_img_pos"":""(736, 520)"",""posX"":736,""posY"":520,""grid_col"":7,""grid_row"":5,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":3,""trial_in_block"":3,""image"":""peanut_1.jpg"",""final_img_pos"":""(632, 520)"",""posX"":632,""posY"":520,""grid_col"":6,""grid_row"":5,""introduction_order"":12}]"
"","","","","","html-button-response","11","98576","0.0-11.0","510","
      <div style=""font-size:24px; line-height:1.5; padding:20px;"">
        Block 2 of 2<br><br>
        This block has 3 trials.
      </div>
    ","0","","","","","",""
