"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","image_order","block","trial","trial_in_block","placements","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","3212","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","4530","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","true","false","[]","[]","[]","","","","","","","","","","",""
"html-button-response","2","2.1.0","34925","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","45001","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","","",""
"emotion-grid","4","null","141684","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","demo","practice","","null","-1","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""pizza_1.jpg"",""final_img_pos"":""(112, 104)"",""posX"":112,""posY"":104,""grid_col"":1,""grid_row"":1,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""pizza_2.jpg"",""final_img_pos"":""(320, 104)"",""posX"":320,""posY"":104,""grid_col"":3,""grid_row"":1,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""french_fries_1.jpg"",""final_img_pos"":""(736, 104)"",""posX"":736,""posY"":104,""grid_col"":7,""grid_row"":1,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""french_fries_2.jpg"",""final_img_pos"":""(944, 104)"",""posX"":944,""posY"":104,""grid_col"":9,""grid_row"":1,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""snowman_1.jpg"",""final_img_pos"":""(112, 416)"",""posX"":112,""posY"":416,""grid_col"":1,""grid_row"":4,""introduction_order"":5}]","[{""image_name"":""pizza_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":1,""grid_row"":1,""posX"":112,""posY"":104,""timestamp"":63277},{""image_name"":""pizza_2.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":1,""posX"":320,""posY"":104,""timestamp"":95894},{""image_name"":""french_fries_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":7,""grid_row"":1,""posX"":736,""posY"":104,""timestamp"":113542},{""image_name"":""french_fries_2.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":9,""grid_row"":1,""posX"":944,""posY"":104,""timestamp"":121689},{""image_name"":""snowman_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":1,""grid_row"":4,""posX"":112,""posY"":416,""timestamp"":129277.00000000001}]","","",""
"html-button-response","5","2.1.0","153642","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","11955","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","178700","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","179786","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","1085","
      <div style=""font-size:24px; padding:20px;"">
        Block 1 of 2
      </div>
    ","0"
"html-button-response","8","2.1.0","185965","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","","","","","","","","","","",""
"emotion-grid","9","null","279688","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","2","2","","","","","","demo","main","[""stimuli/plants/cactus_1.jpg"",""stimuli/plants/peanut_1.jpg"",""stimuli/plants/apple_1.jpg"",""stimuli/plants/leaf_1.jpg"",""stimuli/plants/broccoli_1.jpg"",""stimuli/plants/tree_1.jpg"",""stimuli/plants/grass_1.jpg"",""stimuli/plants/cherry_1.jpg"",""stimuli/plants/flower_1.jpg"",""stimuli/plants/blueberry_1.jpg"",""stimuli/plants/acorn_1.jpg"",""stimuli/plants/cabbage_1.jpg""]","1","1","1","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cactus_1.jpg"",""final_img_pos"":""(112, 104)"",""posX"":112,""posY"":104,""grid_col"":1,""grid_row"":1,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""peanut_1.jpg"",""final_img_pos"":""(528, 104)"",""posX"":528,""posY"":104,""grid_col"":5,""grid_row"":1,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""apple_1.jpg"",""final_img_pos"":""(944, 104)"",""posX"":944,""posY"":104,""grid_col"":9,""grid_row"":1,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""leaf_1.jpg"",""final_img_pos"":""(112, 416)"",""posX"":112,""posY"":416,""grid_col"":1,""grid_row"":4,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""broccoli_1.jpg"",""final_img_pos"":""(424, 416)"",""posX"":424,""posY"":416,""grid_col"":4,""grid_row"":4,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""tree_1.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""grass_1.jpg"",""final_img_pos"":""(216, 624)"",""posX"":216,""posY"":624,""grid_col"":2,""grid_row"":6,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cherry_1.jpg"",""final_img_pos"":""(1048, 624)"",""posX"":1048,""posY"":624,""grid_col"":10,""grid_row"":6,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""flower_1.jpg"",""final_img_pos"":""(632, 624)"",""posX"":632,""posY"":624,""grid_col"":6,""grid_row"":6,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""blueberry_1.jpg"",""final_img_pos"":""(320, 208)"",""posX"":320,""posY"":208,""grid_col"":3,""grid_row"":2,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""acorn_1.jpg"",""final_img_pos"":""(424, 624)"",""posX"":424,""posY"":624,""grid_col"":4,""grid_row"":6,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cabbage_1.jpg"",""final_img_pos"":""(1048, 312)"",""posX"":1048,""posY"":312,""grid_col"":10,""grid_row"":3,""introduction_order"":12}]","[{""image_name"":""cactus_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":1,""posX"":112,""posY"":104,""timestamp"":191841},{""image_name"":""peanut_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":1,""posX"":528,""posY"":104,""timestamp"":194985},{""image_name"":""apple_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":9,""grid_row"":1,""posX"":944,""posY"":104,""timestamp"":200464},{""image_name"":""leaf_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":4,""posX"":112,""posY"":416,""timestamp"":203999},{""image_name"":""broccoli_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":4,""posX"":424,""posY"":416,""timestamp"":209087.00000000003},{""image_name"":""tree_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":216807.00000000003},{""image_name"":""grass_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":6,""posX"":112,""posY"":624,""timestamp"":223961},{""image_name"":""grass_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":6,""posX"":216,""posY"":624,""timestamp"":225704},{""image_name"":""cherry_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":10,""grid_row"":6,""posX"":1048,""posY"":624,""timestamp"":232817},{""image_name"":""flower_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":6,""posX"":632,""posY"":624,""timestamp"":237094},{""image_name"":""blueberry_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":2,""posX"":320,""posY"":208,""timestamp"":240805},{""image_name"":""acorn_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":4,""posX"":632,""posY"":416,""timestamp"":249981},{""image_name"":""cabbage_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":10,""grid_row"":3,""posX"":1048,""posY"":312,""timestamp"":256207},{""image_name"":""acorn_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":4,""posX"":632,""posY"":416,""timestamp"":263169},{""image_name"":""acorn_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":5,""posX"":632,""posY"":520,""timestamp"":264762},{""image_name"":""acorn_1.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":6,""posX"":424,""posY"":624,""timestamp"":266381}]","","",""
