"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","22585","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
"preload","1","2.1.0","22654","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","47174","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","50221","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
"emotion-grid","4","null","85488","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":60257},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":63976},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":69021},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":4,""grid_row"":3,""timestamp"":72765},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":79569}]","","",""
"html-button-response","5","2.1.0","87571","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","2081","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","91876","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
"emotion-grid","7","null","111338","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":9,""grid_row"":2,""timestamp"":95712},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":9,""grid_row"":3,""timestamp"":98631},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":3,""grid_row"":2,""timestamp"":100656},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":103341.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":2,""grid_row"":6,""timestamp"":106754}]","","",""
"html-button-response","8","2.1.0","112909","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","1569","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","116963","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","117890","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","927","
      <div style=""font-size:24px; padding:20px;"">
        Block 1 of 2
      </div>
    ","0"
"html-button-response","11","2.1.0","126187","animals,emotions,plants","{""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1},""plants"":{""block1"":0,""block2"":1}}","p009","1","","","","","","","","","","","","",""
