index	image	Word	uniqueID	display_label	recognizability_answer	recognizability_RT	recognizability_N-ratings	recognizability_N-correct	recognizability_N-most-common	recognizability_most-common-label	recognizability	recognizability_homonyms	recognizability_close	nameability_N-ratings	nameability_alternative-label	nameability_label1	nameability_label1_moreEdit	nameability_label2	nameability_most-frequent-rating	nameability_naming-consistency	nameability	nameability_SE	nameability_SE-naming-consistency	memorability_cr
26110	acorn.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn	5965, 3339, 10949, 19119, 2782, 4683, 4584, 3296, 39309, 4783, 15641, 3249, 3048, 14508,	14	14	14	acorn	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
52	acorn/acorn_11s.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, nut, acorn, acorn, acorn, nut, acorn, acorn, acorn	5351, 2697, 33691, 32031, 14999, 4493, 23489, 23873, 3366, 11152 13148, 15303, 23665,	13	11	11	acorn	0.846153846	0.846153846	0.846153846	18.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut, nut	nan	acorn	0.888888889	0.888888889	0.074074074	0.074074074	0.820512821
54	acorn/acorn_13s.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, bead, acorn, acorn, nut, acorn, acorn, acorn, acorn, acorn, mushroom, acorn	9542, 2498, 7093 2195, 26730, 2983 13351, 28107, 15793, 24597, 22737, 5011, 9623, 4929 26167, 3938, 3283, 8938, 3591,	19	16	16	acorn	0.842105263	0.842105263	0.842105263	19.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	grass	acorn	0.947368421	0.947368421	0.051227817	0.051227817	0.775
53	acorn/acorn_12s.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, walnut, acorn, acorn, seed, acorn, walnut, acorn, acorn	5861, 10731, 2815, 2077, 26587, 3047, 3134, 3584, 5061, 7837, 2534, 3081, 283608, 2793, 7050, 12902, 3584,	17	14	14	acorn	0.823529412	0.823529412	0.823529412	16.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn	rock	acorn	1.0	1.0	0.0	0.0	0.87804878
56	acorn/acorn_15n.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, walnut, acorn, nut, acorn, acorn, acorn, shell (fruit/nut), acorn, acorn, acorn, acorn, acorn, acorn	6957 53667, 2994, 6743, 8692, 9065, 6021 25571, 6809, 4999 11645, 22636, 47024, 32557, 3109, 5332, 18958,	17	14	14	acorn	0.823529412	0.823529412	0.823529412	18.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, oak	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, oak	leaves	acorn	0.944444444	0.944444444	0.053990295	0.053990295	0.682926829
46	acorn/acorn_05s.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, burrito, nut, nut, acorn, acorn, acorn, acorn, acorn, acorn	7324, 3595, 9549, 4332, 7391, 53335, 10080, 46289, 3625, 5158, 29247, 21322, 7100, 3523,	14	11	11	acorn	0.785714286	0.785714286	0.785714286	19.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, fruit	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, fruit	leaves	acorn	0.947368421	0.947368421	0.051227817	0.051227817	0.85
43	acorn/acorn_02n.jpg	acorn	acorn	acorn	acorn, acorn, nut, acorn, chocolate, acorn, acorn, koala, acorn, acorn, acorn, acorn, nut, acorn, acorn, acorn, bomb, acorn, acorn	7192, 14177, 4703, 2323, 6478 15941, 3185, 6858, 5134, 9312, 4771, 19711, 6031, 8131, 9839, 2500, 8153, 3554, 9710,	19	14	14	acorn	0.736842105	0.736842105	0.736842105	17.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, chestnut, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, chestnut, nut	leaves	acorn	0.882352941	0.882352941	0.07814249	0.07814249	0.585365854
44	acorn/acorn_03s.jpg	acorn	acorn	acorn	acorn, acorn, acorn, acorn, acorn, leaf, acorn, acorn, walnut, acorn, salami	3197, 13207, 7786, 6991, 5076, 6744, 23494 6029, 9728, 15603, 19651,	11	8	8	acorn	0.727272727	0.727272727	0.727272727	18.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	leaf	acorn	0.944444444	0.944444444	0.053990295	0.053990295	0.875
51	acorn/acorn_10s.jpg	acorn	acorn	acorn	tree, acorn, acorn, acorn, fruit, acorn, acorn, acorn, acorn, fruit, acorn	19788, 159616, 10956, 4701, 5626, 28361, 7224, 4157, 2927, 40807, 9679,	11	8	8	acorn	0.727272727	0.727272727	0.727272727	19.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, fruit, vegetable	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, fruit, vegetable	green	acorn	0.894736842	0.894736842	0.0704059	0.0704059	0.85
48	acorn/acorn_07s.jpg	acorn	acorn	acorn	acorn, acorn, raccoon, acorn, leaf, fruit, acorn, acorn, acorn, acorn, nut, acorn, acorn	2814, 7871, 8203, 2870, 11634, 6047, 5902, 14053 14628 37214, 6632, 4710, 4136,	13	9	9	acorn	0.692307692	0.692307692	0.692307692	17.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, leaf, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, leaf, nut	leaves	acorn	0.882352941	0.882352941	0.07814249	0.07814249	0.75
47	acorn/acorn_06s.jpg	acorn	acorn	acorn	nut, acorn, acorn, acorn, flower, acorn, fruit, plant, acorn, acorn, acorn, acorn	7717, 2869, 8070, 53409, 151841, 40287, 12160 32373 5126, 18285, 4676, 4885,	12	8	8	acorn	0.666666667	0.666666667	0.666666667	19.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, tree	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, tree	leaves	acorn	0.947368421	0.947368421	0.051227817	0.051227817	0.578947368
45	acorn/acorn_04s.jpg	acorn	acorn	acorn	nut, acorn, acorn, seed, acorn, nut, acorn, nut, acorn, acorn, acorn, acorn	22199, 4463, 2302, 5392, 4445, 5082, 3471, 12891, 69079, 21844, 3665, 3014,	12	8	8	acorn	0.666666667	0.666666667	0.666666667	18.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, nut	table	acorn	0.944444444	0.944444444	0.053990295	0.053990295	0.871794872
57	acorn/acorn_16n.jpg	acorn	acorn	acorn	flower, fruit, acorn, acorn, acorn, acorn, acorn, acorn, buckle, acorn, acorn, acorn, fruit, nut, acorn	6686, 4415, 3772, 4075, 4443, 2392, 4973 17672, 43279, 6833, 13223, 32660, 34166, 7905, 22022,	15	10	10	acorn	0.666666667	0.666666667	0.666666667	17.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, flower, hip, seed	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, flower, hip, seed	leaf	acorn	0.823529412	0.823529412	0.092459441	0.092459441	0.575
55	acorn/acorn_14n.jpg	acorn	acorn	acorn	acorn, acorn, foot, acorn, acorn, acorn, coconut, acorn, acorn, acorn, fruit, acorn, acorn, tackle (fishing accessory), fruit, coconut	2419, 13690, 24300, 4816, 2843, 14223 107392, 3101, 17550, 49772, 6129, 4704, 5881, 3343, 7016, 5126,	16	10	10	acorn	0.625	0.625	0.625	20.0	nan	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn	acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn, acorn	leaves	acorn	1.0	1.0	0.0	0.0	0.846153846
